TSTNO| BARRIG| BARRIGD| BARSHP| BARSHPD| BARANG| BARDIA| BARCOM 
688|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
689|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
692|R|RIGID|MBR|MEDIAN BARRIER|73|0|NO COMMENTS
693|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
694|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
695|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
696|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
697|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
698|R|RIGID|POL|POLE|0|203|NO COMMENTS
700|R|RIGID|POL|POLE|0|203|NO COMMENTS
703|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
705|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
706|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
707|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
708|D|DEFORMABLE|SGN|SIGN SUPPORT|0|0|NO COMMENTS
709|R|RIGID|POL|POLE|0|203|NO COMMENTS
711|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
720|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
721|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
722|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
738|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
